2025-09-20 22:48:52,284 - INFO - Successfully loaded environment variables from: C:\Users\ariro\OneDrive\Documents\Bible\.env
2025-09-20 22:48:52,284 - INFO - === PROCESSING DEUTERONOMY CHAPTER(S) [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34] WITH MULTI-MODEL API ===
2025-09-20 22:48:52,285 - INFO - Initializing Sefaria client...
2025-09-20 22:48:52,285 - INFO - Initializing Gemini multi-model API...
2025-09-20 22:48:52,286 - INFO - Creating database: deuteronomy_multi_multi_model_20250920_224852.db
2025-09-20 22:48:52,353 - INFO - --- Processing Deuteronomy 1 ---
2025-09-20 22:48:52,353 - INFO - Fetching text for Deuteronomy 1...
2025-09-20 22:48:52,702 - INFO - Retrieved 46 verses for Deuteronomy 1
2025-09-20 22:48:52,702 - INFO -   Processing Deuteronomy 1:1 (1/46)...
2025-09-20 22:48:53,053 - INFO -     API Metadata: {'model_used': 'gemini-2.0-flash-exp', 'context': 'narrative', 'retries': 0, 'input_tokens': 437, 'output_tokens': 2, 'fallback_used': False}
2025-09-20 22:48:53,066 - INFO -   Processing Deuteronomy 1:2 (2/46)...
2025-09-20 22:48:53,320 - INFO -     API Metadata: {'model_used': 'gemini-2.0-flash-exp', 'context': 'narrative', 'retries': 0, 'input_tokens': 354, 'output_tokens': 2, 'fallback_used': False}
2025-09-20 22:48:53,321 - INFO -   Processing Deuteronomy 1:3 (3/46)...
2025-09-20 22:48:53,580 - INFO -     API Metadata: {'model_used': 'gemini-2.0-flash-exp', 'context': 'narrative', 'retries': 0, 'input_tokens': 410, 'output_tokens': 2, 'fallback_used': False}
2025-09-20 22:48:53,581 - INFO -   Processing Deuteronomy 1:4 (4/46)...
2025-09-20 22:48:53,841 - INFO -     API Metadata: {'model_used': 'gemini-2.0-flash-exp', 'context': 'narrative', 'retries': 0, 'input_tokens': 420, 'output_tokens': 2, 'fallback_used': False}
2025-09-20 22:48:53,842 - INFO -   Processing Deuteronomy 1:5 (5/46)...
2025-09-20 22:48:54,118 - INFO -     API Metadata: {'model_used': 'gemini-2.0-flash-exp', 'context': 'narrative', 'retries': 0, 'input_tokens': 334, 'output_tokens': 2, 'fallback_used': False}
2025-09-20 22:48:54,119 - INFO -   Processing Deuteronomy 1:6 (6/46)...
2025-09-20 22:48:54,380 - INFO -     API Metadata: {'model_used': 'gemini-2.0-flash-exp', 'context': 'narrative', 'retries': 0, 'input_tokens': 333, 'output_tokens': 2, 'fallback_used': False}
2025-09-20 22:48:54,381 - INFO -   Processing Deuteronomy 1:7 (7/46)...
2025-09-20 22:48:54,640 - INFO -     API Metadata: {'model_used': 'gemini-2.0-flash-exp', 'context': 'narrative', 'retries': 0, 'input_tokens': 484, 'output_tokens': 2, 'fallback_used': False}
2025-09-20 22:48:54,640 - INFO -   Processing Deuteronomy 1:8 (8/46)...
2025-09-20 22:48:54,917 - INFO -     API Metadata: {'model_used': 'gemini-2.0-flash-exp', 'context': 'narrative', 'retries': 0, 'input_tokens': 424, 'output_tokens': 2, 'fallback_used': False}
2025-09-20 22:48:54,917 - INFO -   Processing Deuteronomy 1:9 (9/46)...
2025-09-20 22:48:55,231 - INFO -     API Metadata: {'model_used': 'gemini-2.0-flash-exp', 'context': 'narrative', 'retries': 0, 'input_tokens': 318, 'output_tokens': 2, 'fallback_used': False}
2025-09-20 22:48:55,232 - INFO -   Processing Deuteronomy 1:10 (10/46)...
2025-09-20 22:48:56,728 - INFO -     API Metadata: {'model_used': 'gemini-2.0-flash-exp', 'context': 'narrative', 'retries': 0, 'input_tokens': 330, 'output_tokens': 226, 'fallback_used': False}
2025-09-20 22:48:56,728 - INFO -     FOUND: 1 figurative instances
2025-09-20 22:48:56,729 - INFO -       Instance 1: simile - 'as numerous as the stars in the sky'
2025-09-20 22:48:56,729 - INFO -   Processing Deuteronomy 1:11 (11/46)...
2025-09-20 22:48:57,951 - INFO -     API Metadata: {'model_used': 'gemini-2.0-flash-exp', 'context': 'narrative', 'retries': 0, 'input_tokens': 357, 'output_tokens': 177, 'fallback_used': False}
2025-09-20 22:48:57,951 - INFO -     FOUND: 1 figurative instances
2025-09-20 22:48:57,952 - INFO -       Instance 1: hyperbole - 'increase your numbers a thousandfold'
2025-09-20 22:48:57,952 - INFO -   Processing Deuteronomy 1:12 (12/46)...
2025-09-20 22:50:01,776 - INFO -     API Metadata: {'model_used': 'gemini-2.0-flash-exp', 'context': 'narrative', 'retries': 3, 'input_tokens': 312, 'output_tokens': 193, 'fallback_used': False}
2025-09-20 22:50:01,776 - INFO -   Processing Deuteronomy 1:13 (13/46)...
